i,linkId,linkKey,linkdropSignerSignature,url
0,0xA7Bb9EBE0B888A89B64F383BCD2A37d23C1eCfAa,0xf12c3fd3815053777619d97d48f72ea9935b95f817a043ba9a2f84255d786a25,0xb40ed43eeb9a9113e0e6d65ae30d1545072d38380f9fc36b8a7f28fac928937d5660109db61c1f72b47a0cf1c48357fce8a1dbb590f681164e659b25eea176d51c,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0xf12c3fd3815053777619d97d48f72ea9935b95f817a043ba9a2f84255d786a25&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0xb40ed43eeb9a9113e0e6d65ae30d1545072d38380f9fc36b8a7f28fac928937d5660109db61c1f72b47a0cf1c48357fce8a1dbb590f681164e659b25eea176d51c&campaignId=1
1,0x004259a995B8b2777825E5b1601d99C143A055c4,0x4594ef546341025a7c1148b252c922ccaa0227039a2fd4a45fd14e09ded8bb14,0xa249a49abfb245980ad77363dd1ffecdd178c27c9a4df40c060cb8933053fd5e4dfa3e95f80679a6ddda3718b11474ed5f648fb9b2415a43534d1869d9a66a561c,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0x4594ef546341025a7c1148b252c922ccaa0227039a2fd4a45fd14e09ded8bb14&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0xa249a49abfb245980ad77363dd1ffecdd178c27c9a4df40c060cb8933053fd5e4dfa3e95f80679a6ddda3718b11474ed5f648fb9b2415a43534d1869d9a66a561c&campaignId=1
2,0x630Fda0c5136d09556922e1e39EbE59875b99e66,0xaef24b8263cb84affde0b8f3b10f7dea01273725c36ff3f88d5490b36c0fb902,0xadd2f2cd33cf36529060372aeecc94e0472962c561506f589b893769d8f8cfd225eb98caaa33adb20caf4f5b90e546830cf492ba329802835bded093f4b277921c,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0xaef24b8263cb84affde0b8f3b10f7dea01273725c36ff3f88d5490b36c0fb902&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0xadd2f2cd33cf36529060372aeecc94e0472962c561506f589b893769d8f8cfd225eb98caaa33adb20caf4f5b90e546830cf492ba329802835bded093f4b277921c&campaignId=1
3,0xED190d68741403b1AC578CC2aa3c73f3d9788C23,0xd5f35190e3dd1f218d0246dc9a47c842bb8e69cc609868153d13d600533ad61e,0xe9a5b91d6dacce97146ce0c1f72862f0bce07f08134010bc0e196ba820a888c5177828aa3b09d3534929ec06b5f93c3b9baff2a9e1b41a662d78a1bec5b7b9881c,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0xd5f35190e3dd1f218d0246dc9a47c842bb8e69cc609868153d13d600533ad61e&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0xe9a5b91d6dacce97146ce0c1f72862f0bce07f08134010bc0e196ba820a888c5177828aa3b09d3534929ec06b5f93c3b9baff2a9e1b41a662d78a1bec5b7b9881c&campaignId=1
4,0x5f3ea9BC58B9C650dd78E99e8406288036fC87B6,0x0674c60403d1f3bc67492bb2784c60d38bfa4febe61edac7f6435cf4afce6d16,0x34ebec647ef002276470883898a0543d6b2f696582e3c822d4cc16561ef071c87f3884b45962869bbb77cfd5f2f8a45c470c63d1395de6bd1cbd9d05ab5effc21b,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0x0674c60403d1f3bc67492bb2784c60d38bfa4febe61edac7f6435cf4afce6d16&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0x34ebec647ef002276470883898a0543d6b2f696582e3c822d4cc16561ef071c87f3884b45962869bbb77cfd5f2f8a45c470c63d1395de6bd1cbd9d05ab5effc21b&campaignId=1
5,0x1FF04a6c096ceF4C4B22c24b04A47F66341E64c8,0x30d7392dfceb2ad4536b21557cc8d6d554c9bc7223064722d1f732db80b5a7c4,0x8480d6025db502cf597f7cb6434f28fa7dc877594964e3b307b99cd07b9fa438369be79fda85fa803a6497df78dedde608570d858fd94e72e79a8481cbc363cc1b,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0x30d7392dfceb2ad4536b21557cc8d6d554c9bc7223064722d1f732db80b5a7c4&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0x8480d6025db502cf597f7cb6434f28fa7dc877594964e3b307b99cd07b9fa438369be79fda85fa803a6497df78dedde608570d858fd94e72e79a8481cbc363cc1b&campaignId=1
6,0x5E5A227FA2ec5A54819493e407970660369E43A7,0x42269a13a05ea4ec6e4b4ad8874a68471ba14db3b360778d695477368813c735,0x4f5da11525ad3e23b5e4b9219dc1cc9dd1f3c4d3d78fd556df30b15d5b99581f470676b583f6c5150d1130b9c36bdc023da7a829dab02c984ec6ae0ef432d2f91c,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0x42269a13a05ea4ec6e4b4ad8874a68471ba14db3b360778d695477368813c735&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0x4f5da11525ad3e23b5e4b9219dc1cc9dd1f3c4d3d78fd556df30b15d5b99581f470676b583f6c5150d1130b9c36bdc023da7a829dab02c984ec6ae0ef432d2f91c&campaignId=1
7,0x4879Fc9f7a820017Db6Ba3f377D2E0c46610759D,0x6168a1c69911e99bbd64d00d3b921200bf15b96aba0545ac0ecfa6e6dc16e286,0x9a9c0bebde6e62a924fd783ed5871afd9c5536b062bf9f42e14cad6a78bec1fc48b0f5be0ae688692a83603790a56ff36d0fd03fba902e0e28f3ded958fbc40c1b,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0x6168a1c69911e99bbd64d00d3b921200bf15b96aba0545ac0ecfa6e6dc16e286&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0x9a9c0bebde6e62a924fd783ed5871afd9c5536b062bf9f42e14cad6a78bec1fc48b0f5be0ae688692a83603790a56ff36d0fd03fba902e0e28f3ded958fbc40c1b&campaignId=1
8,0x60E9a927C3992B6fA5Bf587bC93412c6F30Fe6AA,0xdbac8523dddd8d3592839aa1f7f50d30d8311a10d06ac43814db9d35e448b039,0xbab4bd1bc951c8ddfe5625cde4a7d29f7d033fcf6bb12dfdba5680f61441890c4c5bac4ac40ff5cd7bd5a4b5e537a5f26f60cc84ec472f4a77759c32280835791c,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0xdbac8523dddd8d3592839aa1f7f50d30d8311a10d06ac43814db9d35e448b039&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0xbab4bd1bc951c8ddfe5625cde4a7d29f7d033fcf6bb12dfdba5680f61441890c4c5bac4ac40ff5cd7bd5a4b5e537a5f26f60cc84ec472f4a77759c32280835791c&campaignId=1
9,0xf0929a6765593e89f1765Ce887ee96d73fE8155a,0x3c7161c9c9f4056edd86119c513741c5aa860c02d8cc3ec8a3be9b37e189e423,0x489fc75b4f089d07764335feec98bfb64dcb12f9a14fc1740ce69dcf10a610d13463c89e0c111c526eeadd1e8fce7780a29e83385206331fc955b7cfa92a74531b,https://claim.linkdrop.io/#/receive?weiAmount=8&tokenAddress=0xB6f0bFcc6A0c7f2b124C263d0293bC20a16fa123&tokenAmount=4&expirationTime=12345678910&version=1&chainId=4&linkKey=0x3c7161c9c9f4056edd86119c513741c5aa860c02d8cc3ec8a3be9b37e189e423&linkdropMasterAddress=0xa048fc2513baA9a51075BA11F56BfA29Aa829F9E&linkdropSignerSignature=0x489fc75b4f089d07764335feec98bfb64dcb12f9a14fc1740ce69dcf10a610d13463c89e0c111c526eeadd1e8fce7780a29e83385206331fc955b7cfa92a74531b&campaignId=1
