i,linkId,linkKey,linkdropSignerSignature,url
0,0x1d8B10573e6Ae63387840eC06dc02E09aE9376B2,0xf79b83a91a6d2e055fd0c7f5f0ed8e62a444eed8134cb0c6b0a4cd8d1b545d9f,0x960aacab0935c4ca81ab9dee3ca96df4a3e2f2ebcdc6c6f96ec5b1da5fbd54e05875b578282c58ea99c9745acbc01868e786b3a0d2abc1547d5a01b99e11bf081c,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0xf79b83a91a6d2e055fd0c7f5f0ed8e62a444eed8134cb0c6b0a4cd8d1b545d9f&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0x960aacab0935c4ca81ab9dee3ca96df4a3e2f2ebcdc6c6f96ec5b1da5fbd54e05875b578282c58ea99c9745acbc01868e786b3a0d2abc1547d5a01b99e11bf081c
1,0x6777f3cc7bBB800a05bc26121b1D299E1864A9E0,0xbad07a7961fb60bca4aa781de6bfd8baa370761eaa9a223b12f2619c8c26c8e3,0xc98a086ad12c8ba57dce5502499d59a6624333aea2576fa5f4814ec610a82229309241cc4b08dd30055057cb35f23a573a853f8ef5108fa7bd849c4b2946a2411c,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0xbad07a7961fb60bca4aa781de6bfd8baa370761eaa9a223b12f2619c8c26c8e3&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0xc98a086ad12c8ba57dce5502499d59a6624333aea2576fa5f4814ec610a82229309241cc4b08dd30055057cb35f23a573a853f8ef5108fa7bd849c4b2946a2411c
2,0xfd79De0B9f0ddAe9df5e1d494929f00b10ECAD57,0x08d3196f6c36bf14f309393e16311e44dfaca067a06e0727201e5f789390f32c,0xde6de10b0d5be50ed171a458714064b5146f086acd15b6bf87c07667ae15c7be239290a76d2f198b1aabbafee882f09e40cfb7b8a6babf98f971542ae66c59b21b,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0x08d3196f6c36bf14f309393e16311e44dfaca067a06e0727201e5f789390f32c&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0xde6de10b0d5be50ed171a458714064b5146f086acd15b6bf87c07667ae15c7be239290a76d2f198b1aabbafee882f09e40cfb7b8a6babf98f971542ae66c59b21b
3,0x1f1079A6CddBebD9e201E1E231CC793e4ebC0631,0x041e099bc5e59276ed6b4416a306437f8d8d7eb922772fd444bb77410fc8a5e9,0x46830d705449c6df9f651dbf5a5235a83afcc228082d68c64207334885b44c716a2ed6d35e1b375ae9dd840dce920b3c6219041351b4650dfbfe3f8a69877a801c,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0x041e099bc5e59276ed6b4416a306437f8d8d7eb922772fd444bb77410fc8a5e9&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0x46830d705449c6df9f651dbf5a5235a83afcc228082d68c64207334885b44c716a2ed6d35e1b375ae9dd840dce920b3c6219041351b4650dfbfe3f8a69877a801c
4,0x8F9FFbEc684d261ba2cc7A6EDd00ACA19643C49b,0x3ad7089c11434c900992a34a2044bc5190b441fb602f2690b3a4b729b972f05b,0xaa12c09bbe4245a6c5cf0945f200bb7df73ea6bd11135edbbddec9b506d589a74f6101ba30831d1e52aa8fab7bbb065d2e2d997abb7dca739d5375dfc51bd5751c,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0x3ad7089c11434c900992a34a2044bc5190b441fb602f2690b3a4b729b972f05b&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0xaa12c09bbe4245a6c5cf0945f200bb7df73ea6bd11135edbbddec9b506d589a74f6101ba30831d1e52aa8fab7bbb065d2e2d997abb7dca739d5375dfc51bd5751c
5,0x33B50e95446AEa438761e072E77818e86e189f1c,0x76bce03b324e786573e49306ec769cb969326418ce8698916fdac68d7bec323c,0x41d7be453eede1deeb4df8476f0e9749e5170401fa4d165eba1f75be74a11ee4248d3db7b553738724d62b717daf7431ee4cff75d425fcb27b3d215bb1a6e60b1b,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0x76bce03b324e786573e49306ec769cb969326418ce8698916fdac68d7bec323c&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0x41d7be453eede1deeb4df8476f0e9749e5170401fa4d165eba1f75be74a11ee4248d3db7b553738724d62b717daf7431ee4cff75d425fcb27b3d215bb1a6e60b1b
6,0x5A961eAaF8C3E3feBb7462e7E14706BB73a42499,0x64b5db6a03b9dfe36d69e0ed266ca0ec449133d7fe564a21ce53d3a7422be1c1,0x7ca216e2e1dc8fe2247165d7b72f18b1db507e0eb436f3446bb56bceec14f09c1393d1bdccda0ef772e25bc194fe969ee0900182c9629d12afae0b7de8a2b0701b,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0x64b5db6a03b9dfe36d69e0ed266ca0ec449133d7fe564a21ce53d3a7422be1c1&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0x7ca216e2e1dc8fe2247165d7b72f18b1db507e0eb436f3446bb56bceec14f09c1393d1bdccda0ef772e25bc194fe969ee0900182c9629d12afae0b7de8a2b0701b
7,0xCFbed19Cf2f712257e45182EaA63419b02a0859B,0x08fde8e61f7dc41a27869623716871b97cdb686ba2c13b615a090e234eeed93f,0x5504fe0b363c9df923a24af02d61ceb7612839da312992f1527062bcdae852960e87468bee8a1972c55db77c5fa238a9b0c6d08be4e7eb326de340ae7d860e291c,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0x08fde8e61f7dc41a27869623716871b97cdb686ba2c13b615a090e234eeed93f&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0x5504fe0b363c9df923a24af02d61ceb7612839da312992f1527062bcdae852960e87468bee8a1972c55db77c5fa238a9b0c6d08be4e7eb326de340ae7d860e291c
8,0xC572D317e8e270B103851a3DF5d972d0479542AE,0xb43773558aa172911ba041d06b7969e2cbdbdaff440b2caaa1ea18aa80fd2db3,0x044991072c9e684d9027752b84024ff0ed4682697421dca01ccb2e2dbec70d1751ae87bf9449dfd60d8d0820aab3d625548873c9c951025e460f7803f698e72a1b,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0xb43773558aa172911ba041d06b7969e2cbdbdaff440b2caaa1ea18aa80fd2db3&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0x044991072c9e684d9027752b84024ff0ed4682697421dca01ccb2e2dbec70d1751ae87bf9449dfd60d8d0820aab3d625548873c9c951025e460f7803f698e72a1b
9,0xB59658f6b82D78c4eA6832A6e3d2F9D0E08b3eBB,0x2b4c3b976ab440e16d6d02e06beec66535e9a466e1c69132a0c294d63c65045d,0x33627fb7a2b8f7df0cdc3d270cef6a86aa9dbb97fd009c1e5f835d66a84aec3d1f7d14b9a4d3a935aebe9b9daa712030157a344e2ac79de6508c946662f687051b,http://localhost:5000/#/receive?weiAmount=10&tokenAddress=0x0000000000000000000000000000000000000000&tokenAmount=0&expirationTime=1900000000000000&version=1&chainId=4&&linkKey=0x2b4c3b976ab440e16d6d02e06beec66535e9a466e1c69132a0c294d63c65045d&linkdropMasterAddress=0xbF0e4036BF968dD007F9B4A1BFdA4e54C042F612&linkdropSignerSignature=0x33627fb7a2b8f7df0cdc3d270cef6a86aa9dbb97fd009c1e5f835d66a84aec3d1f7d14b9a4d3a935aebe9b9daa712030157a344e2ac79de6508c946662f687051b
